lemma_clean,lemma_macron,full_headword_source,pos,semantic_group,rank,definition_source
a,ā,ā ab abs,Preposition,Place,21,"from, by (+abl.)"
abeo,abeō,abeō -īre -iī -itum,Verb: Irregular,Motion,553,go away
absum,absum,absum abesse āfuī,Verb: Irregular,Travel,445,"be away, absent"
ac,ac,ac,Conjunction,Conjunctions/Adverbs,36,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque"
accedo,accēdō,accēdō -cēdere -cessī -cessum,Verb: 3rd Conjugation -ō,Motion,614,approach
accido,accidō,accidō -cidere -cidī,Verb: 3rd Conjugation -ō,Motion,799,fall; happen
accipio,accipiō,accipiō -cipere -cēpī -ceptum,Verb: 3rd Conjugation -iō,Social Life,110,receive
acer,ācer,ācer ācris ācre,Adjective: 3rd Declension,Other Senses,587,"sharp, piercing"
acies,aciēs,aciēs -ēī f.,Noun: 5th Declension,War and Peace,439,edge; line of battle
ad,ad,ad,Preposition,Place,14,"to, up to, towards (+acc.)"
addo,addō,addō -dere -didī -ditum,Verb: 3rd Conjugation -ō,Social Life,433,give to
adduco,addūcō,addūcō -ere -dūxī -ductum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,886,"lead to, induce"
adeo,adeō,adeō -īre -iī -itum,Verb: Irregular,Motion,595,go to
adeo,adeō,adeō,Adverb,Conjunctions/Adverbs,555,"(adv.) to such a degree, so"
adhibeo,adhibeō,adhibeō -hibēre -hibuī -hibitum,Verb: 2nd Conjugation,Making/Doing,959,apply
adhuc,adhūc,adhūc,Adverb,Place,379,"thus far, to this point"
advenio,adveniō,adveniō -īre -vēnī -ventum,Verb: 4th Conjugation,Travel,987,"come to, arrive at"
adversus,adversus,adversus -a -um,Adjective: 1st and 2nd Declension,War and Peace,657,"facing, opposed; unfavorable"
adversus,adversus,adversus (-um),Adverb,War and Peace,460,"(adv. and prep.) facing, opposite, against, opposed (to)"
adverto,advertō,advertō -vertere -vertī -versum,Verb: 3rd Conjugation -ō,Motion,986,turn towards
aedes,aedēs,aedēs -is f.,Noun: 3rd Declension,The House,965,building; (pl.) house
aeger,aeger,aeger aegra aegrum,Adjective: 1st and 2nd Declension,Life and Being,810,sick
aegre,aegrē,aegrē,Adverb,Life and Being,984,with difficulty
aeque,aequē,aequē,Adverb,Justice,904,equally
aequor,aequor,aequor aequoris n.,Noun: 3rd Declension,Earth and Water,424,"level surface, sea, plain"
aequus,aequus,aequus -a -um,Adjective: 1st and 2nd Declension,Justice,610,equal
aer,āēr,āēr āeris m.,Noun: 3rd Declension,Air and Fire,845,air
aes,aes,aes aeris n.,Noun: 3rd Declension,Business/Money,744,"copper, bronze"
aetas,aetās,aetās -tātis f.,Noun: 3rd Declension,Lengths of Time,308,"age, time of life"
aeternus,aeternus,aeternus -a -um,Adjective: 1st and 2nd Declension,Lengths of Time,734,"everlasting, eternal"
aether,aethēr,aethēr aetheris n.,Noun: 3rd Declension,Air and Fire,851,"pure upper air, ether, heaven, sky"
aevum,aevum,aevum -i n.,Noun: 2nd Declension,Lengths of Time,875,"eternity; lifetime, age"
affero,afferō,afferō afferre attulī allātum,Verb: Irregular,Verbs of Transport,514,bring to
afficio,afficiō,afficiō -ficere -fēcī -fectum,Verb: 3rd Conjugation -iō,Social Life,958,"affect, visit with (+ abl.)"
ager,ager,ager agrī m.,Noun: 2nd Declension,Animals/Plants,324,field
agito,agitō,agitō -āre,Verb: 1st Conjugation,Verbs of Compelling/Directing,578,drive
agmen,āgmen,āgmen -minis n.,Noun: 3rd Declension,War and Peace,358,line of march
ago,agō,agō agere ēgī āctum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,69,"drive, do, act"
aio,aiō,aiō,Verb: Irregular,Speech/Oratory,406,"say, affirm, say yes; ut āiunt: as they say"
albus,albus,albus -a -um,Adjective: 1st and 2nd Declension,Vision,925,white
alienus,aliēnus,aliēnus -a -um,Adjective: 1st and 2nd Declension,Geography,367,"foreign, strange"
aliquando,aliquandō,aliquandō,Adverb,Time,763,"at some time, at length"
aliquis,aliquis,aliquis -quae -quod,Pronoun,Pronouns/Interrogatives,77,"some, any; si quis, si quid: anyone who, anything that"
aliter,aliter,aliter,Adverb,Conjunctions/Adverbs,782,"otherwise, differently"
alius,alius,alius -a -ud,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,37,"other, another; ālias: at another time"
alo,alō,alō alere aluī alitum,Verb: 3rd Conjugation -ō,Life and Being,817,nourish
alter,alter,alter altera alterum,Adjective: 1st and 2nd Declension,Measurement,148,other of two
altus,altus,altus -a -um,Adjective: 1st and 2nd Declension,Geography,159,"high, lofty; deep"
amicitia,amīcitia,amīcitia -ae f.,Noun: 1st Declension,Social Life,690,friendship
amicus,amīcus,amīcus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,198,friendly; (as subst.) friend
amitto,āmittō,āmittō -mittere -mīsī -missum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,486,"let go, send away"
amnis,amnis,amnis -is m.,Noun: 3rd Declension,Earth and Water,467,"river, torrent"
amo,amō,amō -āre,Verb: 1st Conjugation,Love,219,to love; amāns -ntis m./f.: lover
amor,amor,amor -ōris m.,Noun: 3rd Declension,Love,116,love
amplus,amplus,amplus -a -um,Adjective: 1st and 2nd Declension,Measurement,915,"large, spacious"
an,an,an,Conjunction,Conjunctions/Adverbs,94,or (in questions); utrum ... an: whether ... or
anima,anima,anima -ae f.,Noun: 1st Declension,Life and Being,493,"breath, spirit"
